FIR_ID,Year,Date,Time,Time_of_Day,Day_of_Week,Month,Police_Station,Street,Latitude,Longitude,Location_Type,Hotspot_Flag,Crime_Type,Crime_Category,Victim_Age,Victim_Gender,Victim_Occupation,Weapon_Used,Festival_Day,Festival_Name,Holiday,Holiday_Name,Arrest_Made,Case_Status,Case_Success,Case_Filed_Date,Case_Closed_Date,Investigation_Days
2021_FIR0001,2021,2021-06-29,4:00,Midnight,Tuesday,6,Karol Bagh PS,Saket Mall Road,28.5245,77.2066,Residential,0,Cybercrime,Cyber,69,Female,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-07-01,2021-08-01,31
2021_FIR0002,2021,2021-07-22,15:00,Afternoon,Thursday,7,Dwarka PS,Dwarka Sector 12 Road,28.5921,77.046,Residential,1,Kidnapping,Violent,61,Male,Retired,No,No,None,No,None,Yes,Closed,1,2021-07-23,2021-10-17,86
2021_FIR0003,2021,2021-10-25,18:00,Evening,Monday,10,Saket PS,Chandni Chowk Lane 4,28.6562,77.23,Metro Station,1,Robbery,Property,39,Male,Business Owner,No,No,None,No,None,No,Under Investigation,0,2021-10-26,,
2021_FIR0004,2021,2021-03-15,2:00,Midnight,Monday,3,Lajpat Nagar PS,Karol Bagh Main Road,28.6519,77.1909,Metro Station,1,Kidnapping,Violent,7,Male,Student,Yes,No,None,No,None,Yes,Closed,1,2021-03-17,2021-05-11,55
2021_FIR0005,2021,2021-04-12,4:00,Midnight,Monday,4,Rohini PS,Lajpat Nagar Central Market,28.5677,77.2435,Road,1,Burglary,Property,34,Female,Private Employee,Yes,No,None,No,None,Yes,Closed,1,2021-04-12,2021-06-09,58
2021_FIR0006,2021,2021-08-20,13:00,Afternoon,Friday,8,Dwarka PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Cybercrime,Cyber,59,Female,Daily Wage Worker,No,No,None,No,None,No,Open,0,2021-08-20,,
2021_FIR0007,2021,2021-08-30,1:00,Midnight,Monday,8,Karol Bagh PS,Lajpat Nagar Central Market,28.5677,77.2435,Metro Station,1,Assault,Violent,32,Male,Driver,Yes,No,None,No,None,Yes,Closed,1,2021-08-30,2021-09-14,15
2021_FIR0008,2021,2021-04-15,13:00,Afternoon,Thursday,4,Rohini PS,Connaught Place Inner Circle,28.6315,77.2167,Residential,1,Burglary,Property,39,Female,Daily Wage Worker,No,No,None,No,None,Yes,Closed,1,2021-04-15,2021-07-08,84
2021_FIR0009,2021,2021-08-01,3:00,Midnight,Sunday,8,Lajpat Nagar PS,Saket Mall Road,28.5245,77.2066,Residential,1,Theft,Property,57,Male,Government Employee,Yes,No,None,No,None,Yes,Closed,1,2021-08-03,2021-08-20,17
2021_FIR0010,2021,2021-12-20,23:00,Night,Monday,12,Lajpat Nagar PS,Dwarka Sector 12 Road,28.5921,77.046,Road,1,Kidnapping,Violent,19,Male,Student,Yes,No,None,No,None,Yes,Closed,1,2021-12-20,2022-03-02,72
2021_FIR0011,2021,2021-05-25,14:00,Afternoon,Tuesday,5,Lajpat Nagar PS,Saket Mall Road,28.5245,77.2066,Road,0,Burglary,Property,51,Male,IT Professional,Yes,No,None,No,None,No,Under Investigation,0,2021-05-25,,
2021_FIR0012,2021,2021-09-17,18:00,Evening,Friday,9,Lajpat Nagar PS,Dwarka Sector 12 Road,28.5921,77.046,Market,1,Cybercrime,Cyber,5,Female,Student,No,No,None,No,None,Yes,Closed,1,2021-09-19,2021-10-02,13
2021_FIR0013,2021,2021-12-12,14:00,Afternoon,Sunday,12,Chandni Chowk PS,Saket Mall Road,28.5245,77.2066,Residential,1,Robbery,Property,67,Female,Retired,No,No,None,No,None,No,Under Investigation,0,2021-12-12,,
2021_FIR0014,2021,2021-05-24,2:00,Midnight,Monday,5,Dwarka PS,Lajpat Nagar Central Market,28.5677,77.2435,Market,0,Theft,Property,6,Female,Student,No,No,None,No,None,Yes,Closed,1,2021-05-25,2021-07-01,37
2021_FIR0015,2021,2021-06-20,3:00,Midnight,Sunday,6,Saket PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,0,Robbery,Property,31,Male,Daily Wage Worker,Yes,No,None,No,None,No,Open,0,2021-06-21,,
2021_FIR0016,2021,2021-09-15,5:00,Morning,Wednesday,9,Saket PS,Lajpat Nagar Central Market,28.5677,77.2435,Road,0,Snatching,Property,75,Male,Retired,Yes,No,None,No,None,No,Open,0,2021-09-16,,
2021_FIR0017,2021,2021-07-16,19:00,Dusk,Friday,7,Rohini PS,Lajpat Nagar Central Market,28.5677,77.2435,Residential,1,Kidnapping,Violent,65,Male,Retired,No,No,None,No,None,Yes,Closed,1,2021-07-18,2021-10-12,86
2021_FIR0018,2021,2021-10-03,14:00,Afternoon,Sunday,10,Rohini PS,Chandni Chowk Lane 4,28.6562,77.23,Market,0,Robbery,Property,62,Female,Retired,No,No,None,No,None,No,Open,0,2021-10-05,,
2021_FIR0019,2021,2021-03-04,18:00,Evening,Thursday,3,Rohini PS,Connaught Place Inner Circle,28.6315,77.2167,Residential,0,Theft,Property,13,Male,Student,Yes,No,None,No,None,No,Open,0,2021-03-05,,
2021_FIR0020,2021,2021-12-14,1:00,Midnight,Tuesday,12,Lajpat Nagar PS,Lajpat Nagar Central Market,28.5677,77.2435,Market,1,Assault,Violent,15,Male,Student,No,No,None,No,None,Yes,Closed,1,2021-12-15,2022-01-23,39
2021_FIR0021,2021,2021-08-24,20:00,Dusk,Tuesday,8,Karol Bagh PS,Lajpat Nagar Central Market,28.5677,77.2435,Metro Station,0,Cybercrime,Cyber,74,Male,Retired,No,No,None,No,None,No,Open,0,2021-08-25,,
2021_FIR0022,2021,2021-12-11,21:00,Night,Saturday,12,Saket PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,1,Robbery,Property,60,Female,Business Owner,Yes,No,None,No,None,Yes,Closed,1,2021-12-13,2022-03-02,79
2021_FIR0023,2021,2021-09-26,20:00,Dusk,Sunday,9,Dwarka PS,Karol Bagh Main Road,28.6519,77.1909,Metro Station,0,Snatching,Property,39,Female,IT Professional,No,No,None,No,None,Yes,Closed,1,2021-09-27,2021-11-08,42
2021_FIR0024,2021,2021-06-14,15:00,Afternoon,Monday,6,Rohini PS,Karol Bagh Main Road,28.6519,77.1909,Residential,0,Cybercrime,Cyber,27,Female,Shopkeeper,No,No,None,No,None,Yes,Closed,1,2021-06-14,2021-07-07,23
2021_FIR0025,2021,2021-01-17,18:00,Evening,Sunday,1,Connaught Place PS,Saket Mall Road,28.5245,77.2066,Road,0,Assault,Violent,74,Male,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-01-18,2021-03-23,64
2021_FIR0026,2021,2021-04-21,21:00,Night,Wednesday,4,Karol Bagh PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Snatching,Property,12,Female,Student,No,No,None,No,None,No,Under Investigation,0,2021-04-22,,
2021_FIR0027,2021,2021-08-06,8:00,Morning,Friday,8,Saket PS,Chandni Chowk Lane 4,28.6562,77.23,Road,1,Theft,Property,78,Female,Retired,No,No,None,No,None,No,Under Investigation,0,2021-08-08,,
2021_FIR0028,2021,2021-03-25,3:00,Midnight,Thursday,3,Rohini PS,Connaught Place Inner Circle,28.6315,77.2167,Road,0,Kidnapping,Violent,14,Female,Student,No,No,None,No,None,Yes,Closed,1,2021-03-27,2021-04-15,19
2021_FIR0029,2021,2021-11-26,14:00,Afternoon,Friday,11,Dwarka PS,Connaught Place Inner Circle,28.6315,77.2167,Road,0,Burglary,Property,42,Male,Private Employee,No,No,None,No,None,No,Open,0,2021-11-26,,
2021_FIR0030,2021,2021-12-17,3:00,Midnight,Friday,12,Dwarka PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Snatching,Property,33,Male,Daily Wage Worker,No,No,None,No,None,No,Open,0,2021-12-19,,
2021_FIR0031,2021,2021-03-20,10:00,Morning,Saturday,3,Lajpat Nagar PS,Connaught Place Inner Circle,28.6315,77.2167,Residential,0,Kidnapping,Violent,16,Female,Student,No,No,None,No,None,No,Under Investigation,0,2021-03-21,,
2021_FIR0032,2021,2021-01-09,22:00,Night,Saturday,1,Dwarka PS,Lajpat Nagar Central Market,28.5677,77.2435,Residential,1,Kidnapping,Violent,21,Female,Unemployed,Yes,No,None,No,None,Yes,Closed,1,2021-01-09,2021-02-24,46
2021_FIR0033,2021,2021-08-25,8:00,Morning,Wednesday,8,Lajpat Nagar PS,Chandni Chowk Lane 4,28.6562,77.23,Metro Station,1,Robbery,Property,48,Male,Driver,No,No,None,No,None,Yes,Closed,1,2021-08-26,2021-09-24,29
2021_FIR0034,2021,2021-10-14,13:00,Afternoon,Thursday,10,Dwarka PS,Lajpat Nagar Central Market,28.5677,77.2435,Market,0,Snatching,Property,78,Male,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-10-14,,
2021_FIR0035,2021,2021-10-26,20:00,Dusk,Tuesday,10,Rohini PS,Saket Mall Road,28.5245,77.2066,Road,0,Cybercrime,Cyber,57,Female,Government Employee,No,No,None,No,None,No,Open,0,2021-10-27,,
2021_FIR0036,2021,2021-09-20,23:00,Night,Monday,9,Connaught Place PS,Dwarka Sector 12 Road,28.5921,77.046,Metro Station,1,Burglary,Property,10,Female,Student,No,No,None,No,None,Yes,Closed,1,2021-09-22,2021-11-19,58
2021_FIR0037,2021,2021-03-12,7:00,Morning,Friday,3,Saket PS,Connaught Place Inner Circle,28.6315,77.2167,Metro Station,0,Burglary,Property,38,Male,Shopkeeper,No,No,None,No,None,No,Open,0,2021-03-13,,
2021_FIR0038,2021,2021-08-12,9:00,Morning,Thursday,8,Lajpat Nagar PS,Chandni Chowk Lane 4,28.6562,77.23,Road,0,Snatching,Property,68,Female,Retired,No,No,None,No,None,No,Open,0,2021-08-13,,
2021_FIR0039,2021,2021-10-07,0:00,Midnight,Thursday,10,Connaught Place PS,Saket Mall Road,28.5245,77.2066,Market,0,Cybercrime,Cyber,69,Female,Retired,No,No,None,No,None,No,Under Investigation,0,2021-10-09,,
2021_FIR0040,2021,2021-09-17,22:00,Night,Friday,9,Lajpat Nagar PS,Chandni Chowk Lane 4,28.6562,77.23,Residential,0,Burglary,Property,38,Female,Driver,No,No,None,No,None,No,Open,0,2021-09-17,,
2021_FIR0041,2021,2021-02-20,14:00,Afternoon,Saturday,2,Chandni Chowk PS,Saket Mall Road,28.5245,77.2066,Road,0,Robbery,Property,77,Male,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-02-20,2021-05-09,78
2021_FIR0042,2021,2021-09-18,14:00,Afternoon,Saturday,9,Connaught Place PS,Connaught Place Inner Circle,28.6315,77.2167,Market,1,Burglary,Property,29,Male,Daily Wage Worker,No,No,None,No,None,Yes,Closed,1,2021-09-20,2021-11-16,57
2021_FIR0043,2021,2021-11-28,14:00,Afternoon,Sunday,11,Connaught Place PS,Saket Mall Road,28.5245,77.2066,Residential,1,Burglary,Property,78,Female,Retired,No,No,None,No,None,No,Under Investigation,0,2021-11-30,,
2021_FIR0044,2021,2021-10-18,22:00,Night,Monday,10,Lajpat Nagar PS,Karol Bagh Main Road,28.6519,77.1909,Market,0,Kidnapping,Violent,27,Female,Government Employee,Yes,No,None,No,None,Yes,Closed,1,2021-10-18,2021-12-21,64
2021_FIR0045,2021,2021-05-01,23:00,Night,Saturday,5,Lajpat Nagar PS,Lajpat Nagar Central Market,28.5677,77.2435,Metro Station,1,Kidnapping,Violent,24,Female,Daily Wage Worker,No,No,None,No,None,No,Open,0,2021-05-01,,
2021_FIR0046,2021,2021-09-15,17:00,Evening,Wednesday,9,Karol Bagh PS,Connaught Place Inner Circle,28.6315,77.2167,Road,1,Burglary,Property,39,Female,IT Professional,No,No,None,No,None,Yes,Closed,1,2021-09-17,2021-10-17,30
2021_FIR0047,2021,2021-08-16,11:00,Morning,Monday,8,Saket PS,Connaught Place Inner Circle,28.6315,77.2167,Road,1,Theft,Property,80,Female,Retired,No,No,None,No,None,Yes,Closed,1,2021-08-18,2021-09-07,20
2021_FIR0048,2021,2021-09-23,2:00,Midnight,Thursday,9,Chandni Chowk PS,Lajpat Nagar Central Market,28.5677,77.2435,Market,0,Assault,Violent,38,Female,Shopkeeper,Yes,No,None,No,None,Yes,Closed,1,2021-09-23,2021-11-04,42
2021_FIR0049,2021,2021-05-03,19:00,Dusk,Monday,5,Connaught Place PS,Rohini Sector 7 Street,28.7324,77.1194,Road,1,Kidnapping,Violent,75,Male,Retired,Yes,No,None,No,None,Yes,Closed,1,2021-05-04,2021-06-09,36
2021_FIR0050,2021,2021-01-15,20:00,Dusk,Friday,1,Lajpat Nagar PS,Chandni Chowk Lane 4,28.6562,77.23,Road,0,Burglary,Property,35,Male,Shopkeeper,Yes,No,None,No,None,No,Under Investigation,0,2021-01-15,,
2021_FIR0051,2021,2021-09-29,13:00,Afternoon,Wednesday,9,Dwarka PS,Connaught Place Inner Circle,28.6315,77.2167,Market,1,Kidnapping,Violent,18,Female,Student,Yes,No,None,No,None,Yes,Closed,1,2021-09-29,2021-11-03,35
