FIR_ID,Year,Date,Time,Time_of_Day,Day_of_Week,Month,Police_Station,Street,Latitude,Longitude,Location_Type,Hotspot_Flag,Crime_Type,Crime_Category,Victim_Age,Victim_Gender,Victim_Occupation,Weapon_Used,Festival_Day,Festival_Name,Holiday,Holiday_Name,Arrest_Made,Case_Status,Case_Success,Case_Filed_Date,Case_Closed_Date,Investigation_Days
2021_FIR0001,2021,2021-10-22,11:00,Morning,Friday,10,Karol Bagh PS,Rohini Sector 7 Street,28.7324,77.1194,Market,0,Kidnapping,Violent,65,Female,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-10-22,,
2021_FIR0002,2021,2021-11-05,3:00,Midnight,Friday,11,Karol Bagh PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,1,Kidnapping,Violent,13,Female,Student,Yes,No,None,No,None,Yes,Closed,1,2021-11-05,2021-12-23,48
2021_FIR0003,2021,2021-11-18,7:00,Morning,Thursday,11,Connaught Place PS,Karol Bagh Main Road,28.6519,77.1909,Metro Station,0,Burglary,Property,78,Male,Retired,No,No,None,No,None,No,Open,0,2021-11-18,,
2021_FIR0004,2021,2021-11-27,19:00,Dusk,Saturday,11,Lajpat Nagar PS,Dwarka Sector 12 Road,28.5921,77.046,Residential,1,Kidnapping,Violent,45,Female,Government Employee,Yes,No,None,No,None,No,Under Investigation,0,2021-11-28,,
2021_FIR0005,2021,2021-08-09,16:00,Evening,Monday,8,Dwarka PS,Rohini Sector 7 Street,28.7324,77.1194,Residential,0,Robbery,Property,80,Male,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-08-09,,
2021_FIR0006,2021,2021-07-28,15:00,Afternoon,Wednesday,7,Chandni Chowk PS,Dwarka Sector 12 Road,28.5921,77.046,Residential,1,Kidnapping,Violent,15,Female,Student,No,No,None,No,None,No,Under Investigation,0,2021-07-30,,
2021_FIR0007,2021,2021-08-18,1:00,Midnight,Wednesday,8,Dwarka PS,Dwarka Sector 12 Road,28.5921,77.046,Market,1,Theft,Property,43,Male,Driver,No,No,None,No,None,No,Open,0,2021-08-19,,
2021_FIR0008,2021,2021-05-29,15:00,Afternoon,Saturday,5,Saket PS,Rohini Sector 7 Street,28.7324,77.1194,Market,0,Snatching,Property,13,Female,Student,No,No,None,No,None,No,Open,0,2021-05-30,,
2021_FIR0009,2021,2021-09-02,1:00,Midnight,Thursday,9,Karol Bagh PS,Dwarka Sector 12 Road,28.5921,77.046,Road,1,Burglary,Property,50,Male,Business Owner,No,No,None,No,None,Yes,Closed,1,2021-09-04,2021-10-30,56
2021_FIR0010,2021,2021-12-29,13:00,Afternoon,Wednesday,12,Lajpat Nagar PS,Lajpat Nagar Central Market,28.5677,77.2435,Road,0,Theft,Property,31,Male,Shopkeeper,Yes,No,None,No,None,No,Under Investigation,0,2021-12-31,,
2021_FIR0011,2021,2021-04-18,10:00,Morning,Sunday,4,Saket PS,Lajpat Nagar Central Market,28.5677,77.2435,Residential,1,Snatching,Property,34,Male,Business Owner,No,No,None,No,None,No,Under Investigation,0,2021-04-20,,
2021_FIR0012,2021,2021-05-27,4:00,Midnight,Thursday,5,Lajpat Nagar PS,Connaught Place Inner Circle,28.6315,77.2167,Road,1,Theft,Property,12,Female,Student,Yes,No,None,No,None,No,Open,0,2021-05-27,,
2021_FIR0013,2021,2021-10-14,19:00,Dusk,Thursday,10,Rohini PS,Saket Mall Road,28.5245,77.2066,Residential,0,Snatching,Property,37,Female,Business Owner,No,No,None,No,None,No,Open,0,2021-10-16,,
2021_FIR0014,2021,2021-10-28,23:00,Night,Thursday,10,Karol Bagh PS,Chandni Chowk Lane 4,28.6562,77.23,Market,0,Burglary,Property,12,Male,Student,No,No,None,No,None,Yes,Closed,1,2021-10-30,2021-12-26,57
2021_FIR0015,2021,2021-05-30,12:00,Afternoon,Sunday,5,Rohini PS,Dwarka Sector 12 Road,28.5921,77.046,Market,0,Assault,Violent,55,Female,Daily Wage Worker,No,No,None,No,None,Yes,Closed,1,2021-05-31,2021-06-08,8
2021_FIR0016,2021,2021-04-24,23:00,Night,Saturday,4,Rohini PS,Connaught Place Inner Circle,28.6315,77.2167,Market,0,Cybercrime,Cyber,63,Female,Retired,Yes,No,None,No,None,No,Open,0,2021-04-25,,
2021_FIR0017,2021,2021-11-18,15:00,Afternoon,Thursday,11,Dwarka PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,1,Assault,Violent,25,Male,Government Employee,Yes,No,None,No,None,No,Under Investigation,0,2021-11-20,,
2021_FIR0018,2021,2021-12-04,21:00,Night,Saturday,12,Karol Bagh PS,Connaught Place Inner Circle,28.6315,77.2167,Residential,1,Cybercrime,Cyber,63,Male,Retired,No,No,None,No,None,No,Under Investigation,0,2021-12-05,,
2021_FIR0019,2021,2021-12-14,2:00,Midnight,Tuesday,12,Chandni Chowk PS,Rohini Sector 7 Street,28.7324,77.1194,Road,0,Kidnapping,Violent,30,Female,Shopkeeper,Yes,No,None,No,None,Yes,Closed,1,2021-12-15,2021-12-24,9
2021_FIR0020,2021,2021-10-29,9:00,Morning,Friday,10,Lajpat Nagar PS,Rohini Sector 7 Street,28.7324,77.1194,Metro Station,0,Burglary,Property,24,Male,Shopkeeper,No,No,None,No,None,No,Open,0,2021-10-30,,
2021_FIR0021,2021,2021-09-03,4:00,Midnight,Friday,9,Karol Bagh PS,Lajpat Nagar Central Market,28.5677,77.2435,Residential,1,Burglary,Property,78,Male,Retired,Yes,No,None,No,None,No,Under Investigation,0,2021-09-05,,
2021_FIR0022,2021,2021-05-26,12:00,Afternoon,Wednesday,5,Rohini PS,Chandni Chowk Lane 4,28.6562,77.23,Market,1,Snatching,Property,64,Male,Retired,No,No,None,No,None,Yes,Closed,1,2021-05-27,2021-07-30,64
2021_FIR0023,2021,2021-11-23,5:00,Morning,Tuesday,11,Dwarka PS,Chandni Chowk Lane 4,28.6562,77.23,Road,0,Cybercrime,Cyber,12,Male,Student,No,No,None,No,None,No,Under Investigation,0,2021-11-25,,
2021_FIR0024,2021,2021-06-12,23:00,Night,Saturday,6,Lajpat Nagar PS,Rohini Sector 7 Street,28.7324,77.1194,Market,1,Robbery,Property,73,Female,Retired,No,No,None,No,None,Yes,Closed,1,2021-06-13,2021-07-25,42
